platform/java/agent-core | com.ghatana.agent.behavioral.DeterministicAgentBehavioralTest$ProcessingTests | FSM transitions follow state machine rules | failure | org.opentest4j.AssertionFailedError:  Expecting value to be true but was false | TEST-com.ghatana.agent.behavioral.DeterministicAgentBehavioralTest$ProcessingTests.xml
platform/java/agent-core | com.ghatana.agent.behavioral.HybridAgentBehavioralTest$ConfidenceEscalationTests | Low-confidence result escalates to other agent | failure | org.mockito.exceptions.misusing.UnnecessaryStubbingException:  Unnecessary stubbings detected. Clean & maintainable test code requires zero unnecessary code. Following stubbings are unnecessary (click to navigate to relevant line of code):   1. -> at com.ghatana.agent.behavioral.HybridAgentBehavioralTest$ConfidenceEscalationTests.lowConfidenceEscalation(HybridAgentBehavioralTest.java:266) Please remove unnecessary stubbings or use 'lenient' strictness. More info: javadoc for UnnecessaryStubbingException class. | TEST-com.ghatana.agent.behavioral.HybridAgentBehavioralTest$ConfidenceEscalationTests.xml
platform/java/agent-core | com.ghatana.agent.behavioral.HybridAgentBehavioralTest$ErrorHandlingTests | Both agents fail produces error result | failure | java.lang.RuntimeException: java.lang.RuntimeException: Prob error | TEST-com.ghatana.agent.behavioral.HybridAgentBehavioralTest$ErrorHandlingTests.xml
platform/java/agent-core | com.ghatana.agent.behavioral.ProbabilisticAgentBehavioralTest$ConfidenceScoringTests | Confidence calibration adjusts raw scores | failure | org.mockito.exceptions.misusing.UnnecessaryStubbingException:  Unnecessary stubbings detected. Clean & maintainable test code requires zero unnecessary code. Following stubbings are unnecessary (click to navigate to relevant line of code):   1. -> at com.ghatana.agent.behavioral.ProbabilisticAgentBehavioralTest$ConfidenceScoringTests.confidenceCalibration(ProbabilisticAgentBehavioralTest.java:272) Please remove unnecessary stubbings or use 'lenient' strictness. More info: javadoc for UnnecessaryStubbingException class. | TEST-com.ghatana.agent.behavioral.ProbabilisticAgentBehavioralTest$ConfidenceScoringTests.xml
platform/java/agent-core | com.ghatana.agent.behavioral.ProbabilisticAgentBehavioralTest$FallbackChainTests | Fallback invoked when primary model fails | failure | org.mockito.exceptions.misusing.UnnecessaryStubbingException:  Unnecessary stubbings detected. Clean & maintainable test code requires zero unnecessary code. Following stubbings are unnecessary (click to navigate to relevant line of code):   1. -> at com.ghatana.agent.behavioral.ProbabilisticAgentBehavioralTest$FallbackChainTests.fallbackOnPrimaryFailure(ProbabilisticAgentBehavioralTest.java:431) Please remove unnecessary stubbings or use 'lenient' strictness. More info: javadoc for UnnecessaryStubbingException class. | TEST-com.ghatana.agent.behavioral.ProbabilisticAgentBehavioralTest$FallbackChainTests.xml
platform/java/agent-core | com.ghatana.agent.behavioral.ProbabilisticAgentBehavioralTest$ModelVersioningTests | Agent tracks model version in result | failure | java.lang.AssertionError:  Expecting actual:   {} to contain key:   "modelVersion" | TEST-com.ghatana.agent.behavioral.ProbabilisticAgentBehavioralTest$ModelVersioningTests.xml
platform/java/agent-core | com.ghatana.agent.behavioral.ProbabilisticAgentBehavioralTest$ModelVersioningTests | Different model versions produce consistent predictions | failure | org.opentest4j.AssertionFailedError:  Expecting value to be true but was false | TEST-com.ghatana.agent.behavioral.ProbabilisticAgentBehavioralTest$ModelVersioningTests.xml
platform/java/agent-core | com.ghatana.agent.behavioral.ProbabilisticAgentBehavioralTest$PerformanceTests | High throughput inference | failure | org.opentest4j.AssertionFailedError:  Expecting value to be true but was false | TEST-com.ghatana.agent.behavioral.ProbabilisticAgentBehavioralTest$PerformanceTests.xml
platform/java/agent-core | com.ghatana.agent.behavioral.ProbabilisticAgentBehavioralTest$ProcessingTests | Agent handles model timeout gracefully with fallback | failure | org.mockito.exceptions.misusing.UnnecessaryStubbingException:  Unnecessary stubbings detected. Clean & maintainable test code requires zero unnecessary code. Following stubbings are unnecessary (click to navigate to relevant line of code):   1. -> at com.ghatana.agent.behavioral.ProbabilisticAgentBehavioralTest$ProcessingTests.modelTimeoutFallback(ProbabilisticAgentBehavioralTest.java:123) Please remove unnecessary stubbings or use 'lenient' strictness. More info: javadoc for UnnecessaryStubbingException class. | TEST-com.ghatana.agent.behavioral.ProbabilisticAgentBehavioralTest$ProcessingTests.xml
platform/java/agent-core | com.ghatana.agent.behavioral.ProbabilisticAgentBehavioralTest$ProcessingTests | Agent invokes model inference for input | failure | org.opentest4j.AssertionFailedError:  Expecting value to be true but was false | TEST-com.ghatana.agent.behavioral.ProbabilisticAgentBehavioralTest$ProcessingTests.xml
platform/java/agent-core | com.ghatana.agent.behavioral.ProbabilisticAgentBehavioralTest$ProcessingTests | Batch inference processes multiple inputs | failure | org.opentest4j.AssertionFailedError:  Expecting value to be true but was false | TEST-com.ghatana.agent.behavioral.ProbabilisticAgentBehavioralTest$ProcessingTests.xml
