Feature ID,Feature,Short Description,Primary Languages,File Paths,Key Symbols / Functions,Config Knobs,Status,Priority,Notes
F001,Extension Core Pipeline,Collector/batching/transport pipeline used by browser extension,TypeScript,"services/extension/src/core/pipeline.ts; services/extension/src/core/interfaces.ts","CorePipeline, createPipeline, getStats, processMetric, flushNow","batchSize, flushInterval, transport.timeout, outbox.enabled",Implemented,High,"Handles pause/resume, negative acks, batching to sinks"
F002,Latency Root-Cause Predictor,Client-side latency analysis & root-cause predictor,TypeScript,services/extension/src/logic/predict_latency_cause.ts,"extractFeatures, predictLatencyCause, analyzeLatency","model.coefficients, threshold.probability",Implemented,High,"Uses PerformanceNavigationTiming/resource timing; returns cause and probability"
F003,Schema Validation,AJV/Zod validation for EventEnvelope and IngestRequest,TypeScript,services/extension/src/modules/validation.ts,"validateEvent, validateIngestRequest","schemaPaths, strictMode",Implemented,Medium,"References JSON schemas under @schemas/*.schema.json"
F004,Session Intent Pipeline,Intent classification pipeline for user sessions,TypeScript,services/extension/src/intent/pipeline.ts,"SessionIntentPipeline, createIntentPipeline","classifier.modelPath, windowMs, debounceMs",Implemented,Medium,"Metrics + start/stop/updateConfig available"
F005,Desktop Bridge & Adapters,Bridge transport and adapters for desktop client,TypeScript,"services/desktop/src/lib/bridge/bridgeClient.ts; services/desktop/src/lib/adapters/*","BridgeClient.connect, MockBridgeTransport, HttpSink, GrpcSink, LocalFileSink","heartbeat.interval, ackTimeout",Implemented,Medium,"Includes adapter tests and latency metrics"
F006,Agent Redaction Pipeline,PII redaction pipeline in the Rust agent,Rust,client/agent/src/pipeline/redact.rs,"RedactionPipeline, process","redaction.rules, mode",Implemented,High,"Unit tests cover common PII cases"
F007,Manuality Classifier (Agent),ONNX-based manuality classifier used in agent enrichment,Rust,services/agent-rust/src/ml/manuality.rs; services/agent-rust/src/pipeline/enrich.rs,"ManualityClassifier::from_onnx_file, predict, classify_manuality","model_path, threshold.probability, batchSize",Implemented,High,"Fallback to MockManualityClassifier; ONNX models under ml/"
F008,Server Egress Advisor,Egress/cost advisor and recommendations,Go,services/server/internal/advisor/retention.go,"CostBenefitAdvisor.AnalyzeEgressCosts, HandleGetEgressAnalysis","egressThreshold, compression.enabled",Implemented,Low,"Provides caching/compression/region recommendations"
F009,Correlation Service,Correlates web events and latency anomalies,Go,services/server/internal/services/correlation_service.go,"fetchWebEvents, correlateLatency, severityMapping","minLatencyMs, correlationWindow",Implemented,High,"Used by server to map client-side latency to backend anomalies"
F010,Tracing Storage (ClickHouse),Trace span storage and schema management,Java,services/tracing-service/src/.../ClickHouseTraceStorage.java,"initializeSchema, writeSpans","clickhouse.connection, retention.days",Implemented,High,"OpenTelemetry integration and schema initialization"
F011,ML Training & Artifacts,Model training scripts and ONNX/pickle artifacts,Python & ML,ml/training/*; ml/mlruns/*,"trainer_slice2.py, config_slice2.yaml, logistic_regression_manuality.onnx","training.config, export.onnxPath",Implemented,Medium,"Model artifacts present: .pkl and .onnx; experiment metadata in mlruns/"
F012,Tests & CI,Unit/integration/fuzz tests for extension,desktop,agent,,"services/extension/unit/*.test.ts; services/desktop/test/*; client/agent/tests/*","various test suites and CI scripts","testTimeouts, coverage.thresholds",Partial,High,"Many tests exist; running them requires environment setup (pnpm/cargo/gradle)"
