Feature ID,Feature,Short Description,Primary Languages,File Paths,Key Symbols / Functions,Config Knobs,Status,Priority,Notes
E001,Content Script Source,In-page JS that collects page-level signals and forwards to background,TypeScript,services/extension/src/content.ts; services/extension/src/content/transport.ts,"setContentScriptLoaded, __dcmaarContentScriptLoaded, postMessage bridge","manifest.content_scripts, contentScript.matches",Implemented,High,"Identifies itself via source: 'dcmaar-content-script' and sets global flag for tests"
E002,Background Service Worker Source,Background/service worker entry point that initializes pipeline and listens for messages,TypeScript,services/extension/src/background/index.ts; services/extension/src/background/ingest.ts,service_worker in manifest.config.ts,"service worker init, message listeners, background event handlers","service_worker, background.permissions",Implemented,High,"Background runs pipeline, handles commands and communicates with content scripts"
E003,Metrics Collection Module,Collects metrics from various sources (content, background, options) and normalizes into MetricItem,TypeScript,services/extension/src/modules/metrics/*; services/extension/src/modules/metrics/content.ts,"collectMetric, toMetricItem, MetricItem types","metrics.enabled, metrics.sampleRate",Implemented,High,"Metric sources enum: 'content-script' | 'background' | 'devtools' | 'options'"
E004,Pipeline Orchestration (Core),Batching, sampling, redaction, signing, queueing and sending to sinks,TypeScript,services/extension/src/core/pipeline.ts,"CorePipeline, createPipeline, processMetric, flushNow, getStats, applyCommand, drainLoop, flushPending","batch.size, batch.flushMs, batch.maxInFlight, privacy.samplingRate","Implemented",High,"Central orchestration: enqueues BatchEnvelope, signs batches, handles acks and negative acks"
E005,Queue / Outbox Storage,In-memory and pluggable queue storage used as outbox for persisted batches,TypeScript,services/extension/src/storage/memory-queue.js; services/extension/src/core/pipeline.ts,"createMemoryQueueStorage, queue.enqueue, queue.pop, queue.peek, queue.size","outbox.enabled, outbox.path, outbox.retryCount",Implemented,High,"Default memory queue; supports pluggable on-disk outbox in agent but extension keeps memory by default"
E006,Sink Adapter Factory,Factory to instantiate sink adapters (HTTP, File, WSS, Bridge),TypeScript,services/extension/src/adapters/sink/index.ts; services/extension/src/adapters/sink/http.ts; services/extension/src/adapters/sink/file.ts; services/extension/src/adapters/sink/wss.ts,"createSinkAdapter, HttpSink, FileSink, WssSink","sink.type, sink.endpoint, sink.headers, sink.authToken",Implemented,High,"Adapters implement SinkAdapter interface and expose sendBatch(batch): Promise<Ack>"
E007,HTTP Sink Transport,HTTP/HTTPS transport to send batches to ingestion endpoints,TypeScript,services/extension/src/adapters/sink/http.ts,"HttpSink.sendBatch, fetch wrapper, retry/backoff","sink.endpoint, sink.timeout, sink.retries, sink.headers",Implemented,High,"Returns Ack with ok/retryable and receivedAt; used in pipeline.drainLoop"
E008,WebSocket (WSS) Sink,Streaming transport for low-latency channels (WSS),TypeScript,services/extension/src/adapters/sink/wss.ts,"WssSink.connect, sendBatch over socket, reconnect logic","sink.wssUrl, wss.reconnectInterval",Implemented,Medium,"Suitable for long-running connections (desktop/bridge scenarios)"
E009,File Sink (local),Local file sink used for debugging/testing (writes batches to extension storage),TypeScript,services/extension/src/adapters/sink/file.ts,"FileSink.sendBatch","sink.filePath, sink.rotatePolicy",Implemented,Low,"Used mainly in local debug runs and Playwright tests"
E010,Bridge Adapter / Native Bridge,Adapter to route batches to a local desktop bridge or helper process,TypeScript,services/extension/src/adapters/sink/bridge.ts?; (desktop BridgeSink exists),services/desktop/src/lib/bridge/bridgeClient.ts,"Bridge client call, BridgeSink","bridge.host, bridge.port, bridge.auth" ,Partially Implemented,Medium,"Extension-side bridge adapter coordinates with Desktop bridge (desktop repo has BridgeSink) — verify extension-side implementation or use WSS/HTTP fallbacks"
E011,Batch Signing & Verification,Sign outgoing batch envelopes and include signature metadata,TypeScript,services/extension/src/security/signing.js; services/extension/src/core/pipeline.ts,"createBatchSigner, signer.sign, batch.signature","signing.keyPath, signing.algorithm, verify.enabled",Implemented,High,"Pipeline signs BatchEnvelope before enqueue; verification done server-side or bridge"
E012,Privacy Redaction,PII redaction before sending events (policy-driven redactor),TypeScript,services/extension/src/privacy/redaction.js; services/extension/src/core/pipeline.ts,"defaultRedactor, PrivacyRedactor.redact","privacy.redactionRules, privacy.level",Implemented,High,"Redactor returns redacted payload and flags; applied in processMetric() before enqueue"
E013,Schema Validation (Ingress),Validate EventEnvelope and IngestRequest against JSON schemas before sending,TypeScript,services/extension/src/modules/validation.ts; @schemas/EventEnvelope.schema.json; @schemas/IngestRequest.schema.json,"validateEvent, validateIngestRequest","validation.strictMode",Implemented,Medium,"Uses jsonschema Validator to preflight payloads; errors collected for telemetry"
E014,Content↔Background Communication,Window postMessage and browser.runtime message transport between content and background,TypeScript,services/extension/src/content/transport.ts; services/extension/src/background/*,"postMessage handler, runtime.sendMessage, onMessage","n/a (manifest permissions)" ,Implemented,High,"content transport tags messages with source 'dcmaar-content-script' and uses runtime messaging for background commands/acks"
E015,Configuration Pull & Dynamic Update,Fetching remote config and runtime update via commands (updateConfig),TypeScript,services/extension/src/core/pipeline.ts (applyCommand handling), services/extension/README.md (dev config),tools/mock-config-server,"applyCommand('updateConfig'), GET /config, /validate endpoints","config.endpoint, config.refreshInterval, config.authToken",Implemented,High,"Pipeline supports 'updateConfig' command; mock-config-server used during dev; production config server expected behind auth"
E016,Sampling Control & Commands,Runtime sampling adjustment via commands and config,TypeScript,services/extension/src/core/pipeline.ts (setSampling command), client/agent policy references,"applyCommand('setSampling'), config.privacy.samplingRate","privacy.samplingRate, sampling.min, sampling.max",Implemented,High,"Supports setSampling command to adjust privacy.samplingRate at runtime"
E017,Ack/Nack Handling & Retries,Handling acknowledgements from sinks and negative acks with retry decisions,TypeScript,services/extension/src/core/pipeline.ts,"handleAck(ack), queue.pop on success, negative ack handling","sink.retryPolicy, ack.retryableBehavior",Implemented,High,"If ack.ok -> queue.pop; if negative non-retryable -> pop to avoid stuck batches"
E018,Metering & Telemetry (Extension Metrics),Internal metrics about pipeline health, queue size, in-flight batches for debugging and telemetry,TypeScript,services/extension/src/core/pipeline.ts; services/extension/src/modules/metrics/*,"getStats, ctx.logger, internal metric emits","metrics.export, metrics.endpoint",Implemented,Medium,"getStats returns inFlight, queued, lastAckAt, lastError for diagnostics"
E019,Playwright Test Hooks & Manifest Validation,Playwright config reads manifest for extension ID; tests assert content script injection and manifest presence,TypeScript,services/extension/playwright.config.ts; services/extension/tests/*; scripts/build-production.sh,"reads manifest.json, test assertions for __dcmaarContentScriptLoaded","test.env, build.targets",Implemented,High,"playwright config loads manifest.json to set extension IDs; tests check content script injection"
E020,Build & Packaging (Zip/Store),Build scripts for multi-browser bundles and packaging per browser,Node/Shell,services/extension/package.json; services/extension/scripts/build-production.sh; services/extension/scripts/setup-firefox-profile.js,"build:chrome, package:chrome, postbuild verification","build.targets, postbuild.verifyNoTestHelpers",Implemented,High,"postbuild verification ensures test-only helpers removed; packages created in dist/<browser>.zip"
E021,SBOM & Compliance,SBOM generation scripts and CI hooks for producing SBOMs,Shell/Node,services/extension/scripts/generate-sbom.sh; services/extension/package.json (sbom script),services/extension/README.md,"generate-sbom.sh, sbom:summary","sbom.outputPath, ci.sbomJob",Implemented,Medium,"Scripts exist to generate cyclonedx SBOM; recommend CI publish step"
E022,Permissions & Security (Manifest),Required extension permissions and CSP declared in manifest; affects transport and content script capabilities,JSON/TS,services/extension/manifest.json; services/extension/manifest.config.ts,services/extension/docs/*,"manifest.permissions, host_permissions, content_scripts","permissions list, host_permissions",Implemented,High,"Ensure minimal permissions for privacy and least privilege; docs reference manifest needed permissions"
E023,Add-on / Browser-specific Support,Firefox gecko IDs and browser-specific adjustments (service_worker, firefox prefs),JSON/TypeScript,services/extension/manifest.config.ts; services/extension/playwright.config.ts,"browser_specific_settings, gecko.id","browser.targets, firefox.prefs",Implemented,Medium,"Playwright and packaging handle Firefox-specific id and settings"
